@relation MusicPredict

@attribute asr numeric
@attribute assr numeric
@attribute assnr numeric
@attribute fan numeric
@attribute video {No,Yes}
@attribute likC {C,D,B,A}

@data
7480,4650,?,13379,No,C
2380000,272000,3330,27,No,D
2710,2230,?,2247,No,D
39200,15500,15500,5545,Yes,D
1090000,11600,?,779,No,D
226000,477,?,483,No,D
225000,16800,1980,545,Yes,C
4730000,208000,614,49,Yes,D
267000,115000,341,24224,Yes,C
40800,34200,?,1584,Yes,D
192000,7100,?,739,Yes,D
92600,17400,?,3413,No,D
29100000,232000,2950,402,No,D
118000,18100,?,8,No,D
212000,16300,71,16689,Yes,C
5700000,28600,8700,2591,Yes,D
682000,50400,216,655,No,D
42700,15800,?,187,No,D
116000,6,?,120,No,D
70600,684000,2230,911,No,C
3660,295,?,80,Yes,D
8810,287,?,3046,No,D
397000,20400,5500,15548,No,C
696,256,?,290,No,D
74400,?,?,1002,No,C
203000,90600,111,18587,No,D
1100,9920,?,4022,Yes,D
?,?,183000,57531,Yes,B
336000,38400,168,20216,Yes,B
8260000,136000,18800,189114,Yes,A
18600,204,?,399,No,D
35300,22000,224,2321,No,D
8500,6140,?,11486,Yes,C
219000,53800,53800,1737,No,D
5130000,257000,873,86,No,D
23100,56,56,209,Yes,D
37500,72500,990,633,No,D
66000000,405000,248,4569,No,D
448000,59600,2200,129,No,D
204000,26700,?,367,No,D
1360000,7,?,22,Yes,D
134000,7960,?,240,No,D
312000,27800,1310,2625,Yes,D
201000,6,?,28,Yes,D
74100,13300,36,63,No,D
7430000,42400,89,268,Yes,D
279000,128000,128000,1932,No,D
1580,?,?,0,Yes,D
22300,414,?,181,No,D
21000,4410,?,2444,Yes,D
331000,29100,?,6742,No,D
9910,8,8,2750,No,D
582000,21800,25,1714,Yes,D
94500,2300,?,24,No,D
10700,6,?,174,Yes,D
15900,9880,?,904,Yes,D
186000,59400,104,778,Yes,C
9930,1150,96,3175,No,D
286000,350000,1980,303,No,D
46200,41900,?,228,No,D
255000,74100,1380,193,No,D
11200,20600,?,108,No,D
597,1390,?,55,No,D
32600,75,?,134,No,D
253000,53000,137,114,No,D
291000,21300,686,7308,No,D
217000,12300,19,9677,Yes,D
737000,21500,4200,1494,No,D
176000,1250,?,1406,No,D
3790,478,53,666,No,D
14400,6400,?,1735,No,D
7110,1930,?,110,Yes,D
4070,429,?,387,No,C
12900,14000,756,878,Yes,C
177000,5110,?,7674,No,D
144,143,?,51,No,D
274000,6240,6240,23,No,D
518000,8490,198,9258,No,C
5020,229,?,433,No,D
70700,7,?,86,No,D
1270000,992,?,38,No,D
452000,15900,?,242,No,D
643000,221,?,115,No,D
504,236,?,34,No,D
339000,48000,314,527,No,D
5610000,516000,3140,12,No,D
18200,6,?,3,Yes,D
155000,6970,53,61297,Yes,C
1580,404,?,143,No,D
159000,417,?,1566,No,D
4660000,3710000,95900,56139,Yes,B
409000,7700,7700,14877,No,C
534000,3050,?,15,Yes,D
223000,146000,5110,1670,Yes,D
11500000,155000,1120,126,No,D
19400,7540,?,286,No,D
4030,4030,4030,468,No,D
96900,10100,?,4285,No,D
177000,19300,?,1827,Yes,D
79000,6,?,185,Yes,D
3460,908,?,64,Yes,D
253000,5,?,87,No,D
718000,432000,1970,21,No,D
?,?,62300,57793,No,C
7740,622,?,1459,Yes,D
41100,4160,?,1344,No,D
23900,216,216,38,No,D
4130,533,?,21,Yes,D
45500,60500,?,66,No,D
216000,11100,321,0,No,C
33600,11200,?,250,No,D
171000,21500,66,13112,Yes,C
33400,2780,?,5504,No,D
763000,14500,?,390,No,D
3570,54,?,39,Yes,D
113000,7230,7230,98,No,D
8330,10800,135,31,Yes,D
228000,6,?,354,No,D
34000,185,?,2087,Yes,D
5530000,97100,288,56,No,D
63000,48800,587,263,Yes,D
?,?,87500,64379,No,C
6550000,1450000,6230,84,No,D
1900,136,?,1046,Yes,D
12300000,284000,1460,5789,Yes,C
488000,69100,370,69762,No,C
143000,12800,?,9649,No,D
73000,29300,1930,151,Yes,D
386000,373000,?,17,No,D
922000,143000,?,79,No,D
79200,34100,2190,232,Yes,D
453000,127000,72,21462,No,C
29500,2050,58,158,Yes,C
501000,138000,1950,211768,Yes,B
82900,27900,?,1539,Yes,D
6000000,9720,935,30102,No,C
4780000,19000,272,111,Yes,D
8,9,?,49,No,D
55300,526,?,245,No,D
242000,65700,1190,312,No,D
3550,981,?,379,Yes,D
645000,6650,?,138,Yes,D
19600,636,?,232,No,D
18600,1410,?,4201,Yes,C
127000,21600,77,39607,Yes,C
130000,2750,55,1961,No,D
1630,102,?,156,Yes,C
720000,6,?,72,No,D
77,6,6,14,No,D
282000,14700,?,103,No,D
278000,79200,?,736,No,D
9680,557,?,1172,No,D
106000,46000,?,2103,No,D
291000,5120,?,184,No,C
910000,38900,1320,7002,Yes,C
422000,104000,167,68085,Yes,B
46800,55800,?,21,Yes,D
26000,248,?,469,Yes,D
125000,19800,?,207,No,D
235000,38900,?,64,No,D
428000,6,?,60,No,D
3370,1030,?,279,No,D
138000,94300,?,126,No,D
66700,30700,?,58,Yes,D
28700,21500,?,2295,No,D
34200,11800,?,56,Yes,D
744000,2380,2380,21209,No,C
254000,6,2930,93,No,D
17200,?,?,59,No,D
263000,817000,1950,1329,No,D
92500,140000,670,0,No,D
6210,1650,?,34,No,D
12800,183,?,363,Yes,D
520000,5,5,74,No,D
64100,12700,688,2511,Yes,C
395000,134000,67200,18380,Yes,B
406000,140000,?,1305,No,D
84700,9450,?,63,No,D
161000,25,?,1193,Yes,D
313000,307000,5940,126771,No,B
82300,4970,424,16593,No,C
229000,6350,?,9683,No,D
166000,31500,2450,1837,No,D
12900000,693000,2520,13087,No,D
87100,6,?,88,No,D
511000,6700,?,89,No,D
81800,13100,?,26399,Yes,D
54900,25900,?,255,No,D
49800,49800,49800,105,No,D
56200,56200,56200,35491,No,C
11100,5110,?,1490,No,D
201000,29900,2530,34737,Yes,C
2740000,933000,4640,26147,No,C
54100,54100,54100,6587,No,D
922000,91400,178,12,No,D
392,132,?,591,No,D
14100000,10100,?,98,No,D
609,151000,59,85,No,D
1060000,543000,442,66,Yes,D
845000,92900,?,115,No,D
759000,6,6,13,No,D
84300,28300,?,1190,No,D
698000,428000,190,138,Yes,D
2720000,123000,1450,3,No,D
338000,13200,653,1015,No,D
136000,30600,470,20170,Yes,D
1190000,320,?,23615,No,D
4690,30,?,4702,No,D
1070000,53500,?,180,No,D
349000,342000,7920,127163,No,B
27400,1010,?,10105,Yes,C
82400,5020,452,16598,No,C
239000,3350,?,9683,No,D
166000,31500,2450,1837,No,D
12900000,693000,2520,13092,No,D
87100,6,?,88,No,D
511000,6700,?,90,No,D
81800,13100,?,26400,Yes,D
55700,26000,?,256,No,D
49800,6,?,105,No,D
56200,14700,?,35491,No,C
11100,?,?,1490,No,D
201000,29900,2530,34738,Yes,C
2740000,217000,4640,26147,No,C
53200,3350,?,6587,No,D
922000,91400,178,12,No,D
258,132,?,591,No,D
14100000,10100,?,99,No,D
1590,151000,59,85,No,D
321000,28100,406,66,Yes,D
845000,92900,?,115,No,D
759000,6,6,13,No,D
84300,28300,?,1190,No,D
698000,428000,190,138,Yes,D
3000000,126000,1440,5,No,D
338000,13200,652,1015,No,D
136000,30600,470,20170,Yes,D
1160000,258,?,23615,No,D
4690,28,?,4702,No,D
1070000,53500,?,180,No,D
349000,342000,7920,127172,No,B
27400,1010,?,10106,Yes,C
513000,6680,386,57183,No,C
147000,84400,2660,24310,No,D
441000,5600,48,23088,Yes,C
969000,31300,483,126,No,D
654000,5,?,2,No,D
11000,1250,?,87,No,D
336000,75200,577,537,Yes,D
231,6,?,42,No,D
2020000,14300,112,38418,Yes,C
172000,14800,47,10195,No,D
427000,263000,3350,36260,No,C
61200,8,?,1317,No,D
374000,8760,?,485,No,D
83,53,?,39,No,D
874000,17800,3350,166484,Yes,B
1020000,58100,961,21384,Yes,C
5440000,134000,2560,98,No,D
216,89,?,7,No,D
895000,11800,874,51632,No,D
339000,98000,2380,66777,Yes,C
66800,6050,77,3142,No,D
39300,209,?,683,No,D
7330000,971000,6530,132,No,D
576000,103000,368,85,No,D
550000,4820,199,24520,Yes,C
11800000,138000,15000,653606,No,B
880000,7400,?,25,No,D
?,?,3330,574,No,D
14300,1020000,2770,79,No,D
351,1890,?,19,Yes,D
302000,41900,451,4081,No,D
16300,252,?,692,No,D
1560,5,?,151,No,D
29600,3100,?,571,Yes,D
111000,5290,5290,521,Yes,D
2380,712,?,377,No,D
42300,6460,?,31,No,D
60700,5290,?,1986,No,D
582000,2850,?,2714,Yes,D
1270000,92500,5750,36439,Yes,B
117000,28800,116,2877,Yes,C
7810000,221000,6110,189566,No,A
1690000,165000,547,7294,No,C
148,?,?,33,No,D
26500,7,?,271,No,D
1790,210,?,129,No,D
169000,67800,?,193,No,D
730000,2680,2680,189,No,D
199000,14900,?,11836,No,C
23900,6140,?,468,No,D
339000,417000,621,78,No,D
29700,2080,?,3373,Yes,C
46200,5630,?,4952,Yes,D
244000,?,?,118,No,D
